Title,AgentCompanyName,BC Agent Name,BC Vendor Code,Other Remarks
4304,IS EDUCATION - Melbourne,,,N/A
4309,I EDU NET - Melbourne,IAE EDU NET - SYDNEY,108002694,
4311,SOL EDU (Formally iAE Edu Net) - Brisbane,SOL Edu,108002969,
4313,IAE EDU NET - Seoul,"IAE Edu Net, Seoul, KOREA",A108000218,
4315,iae GLOBAL - Sydney (Regional Head Office),IDP Education Pty Ltd,A108000222,
4318,IAE EDU NET - Perth,IDP Education Pty Ltd,A108000222,
4334,IDP EDUCATION - Gujarat,IDP Education Pty Ltd,A108000222,
4337,IDP EDUCATION - Bahrain,IDP Education Pty Ltd,A108000222,
4338,IDP EDUCATION - Jakarta,IDP Education Pty Ltd,A108000222,
4340,IDP EDUCATION - Karnataka,IDP Education Pty Ltd,A108000222,
4341,IDP EDUCATION - Bangkok,IDP Education Pty Ltd,A108000222,
4342,IDP EDUCATION - Bangladesh,IDP Education Pty Ltd,A108000222,
4343,IDP EDUCATION - Beijing (Haidian and Chaoyang),IDP Education Pty Ltd,A108000222,
4352,IDP EDUCATION - Cambodia,IDP Education Pty Ltd,A108000222,
4355,IDP EDUCATION- Punjab,IDP Education Pty Ltd,A108000222,
4357,IDP EDUCATION - Chennai,IDP Education Pty Ltd,A108000222,
4359,IDP EDUCATION - Chiang Mai,IDP Education Pty Ltd,A108000222,
4360,IDP EDUCATION - Colombo,IDP Education Pty Ltd,A108000222,
4362,IDP EDUCATION - Penang,IDP Education Pty Ltd,A108000222,
4364,IDP EDUCATION - Ho Chi Minh,IDP Education Pty Ltd,A108000222,
4370,IDP EDUCATION - Seoul,IDP Education Pty Ltd,A108000222,
4371,IDP EDUCATION - Gurgaon,IDP Education Pty Ltd,A108000222,
4372,IDP EDUCATION - Hanoi,IDP Education Pty Ltd,A108000222,
4374,IDP EDUCATION - Hong Kong,IDP Education Pty Ltd,A108000222,
4375,IDP EDUCATION - Hyderabad,IDP Education Pty Ltd,A108000222,
4381,IDP EDUCATION - Johor Bahru,IDP Education Pty Ltd,A108000222,
4382,IDP EDUCATION - Kaohsiung,IDP Education Pty Ltd,A108000222,
4385,IDP EDUCATION - Kuala Lumpur,IDP Education Pty Ltd,A108000222,
4387,IDP EDUCATION - Kuching,IDP Education Pty Ltd,A108000222,
4393,IDP EDUCATION - Philippines,IDP Education Pty Ltd,A108000222,
4394,IDP EDUCATION - Mauritius,IDP Education Pty Ltd,A108000222,
4398,IDP EDUCATION - Mumbai,IDP Education Pty Ltd,A108000222,
4399,IDP EDUCATION - Nanjing,IDP Education Pty Ltd,A108000222,
4402,IDP EDUCATION - New Delhi,IDP Education Pty Ltd,A108000222,
4403,IDP EDUCATION - Oman,IDP Education Pty Ltd,A108000222,
4410,IDP EDUCATION - Shanghai,IDP Education Pty Ltd,A108000222,
4411,IDP EDUCATION - Singapore,IDP Education Pty Ltd,A108000222,
4414,IDP EDUCATION - Subang Jaya,IDP Education Pty Ltd,A108000222,
4418,IDP EDUCATION - Sydney,IDP Education Pty Ltd,A108000222,
4419,IDP EDUCATION - Taichung,IDP Education Pty Ltd,A108000222,
4420,IDP EDUCATION - Taipei,IDP Education Pty Ltd,A108000222,
4422,IDP Education- United Arab Emirates,IDP Education Pty Ltd,A108000222,
4428,IEDUCATION AND TRAINING GROUP - Hong Kong,iEducation & Training Group,108000630,
4429,IEN GLOBE LIMITED (IENG) - China,IEN Globe Limited,A108000980,
4532,INTERNATIONAL EDUCATION CONSULTANCY - Malaysia,IEC (International Education Consultancy),A108000223,
4535,INTERNATIONAL EDUCATION SPECIALISTS - Philippines,International Education Specialists,A108000238,
4554,INTERNATIONAL STUDENT EXCHANGE SERVICES (ISES) - Melbourne,International Student Exchange Services Pty Ltd,A108000240,
